tick,action,price,est_price,prob,reason
17831,SELL,263.45,263.36873,,Signal Exit
17952,BUY,261.4,261.636381,0.8083722,
17996,SELL,262.9,262.833408,,Signal Exit
18153,BUY,258.8,258.850578,0.9140999,
18159,SELL,260.65,260.487088,,Signal Exit
18205,BUY,256.6,256.763938,0.7254859,
18208,SELL,257.45,257.237058,,Signal Exit
18581,BUY,260.85,260.917662,0.7206913,
18584,SELL,262.4,262.262073,,Signal Exit
18921,BUY,253.5,253.644824,0.7745018,
18925,SELL,254.9,254.710853,,Signal Exit
19007,BUY,251.55,251.768624,0.7108911,
19016,SELL,252.85,252.848662,,Signal Exit
19150,BUY,254.5,254.726777,0.7679256,
19172,SELL,253.25,253.077035,,Signal Exit
19232,BUY,256.8,257.05104,0.72478706,
19235,SELL,257.8,257.646916,,Signal Exit
19417,BUY,261.15,261.159372,0.7147683,
19431,SELL,260.35,260.32267,,Signal Exit
19540,BUY,262.2,262.310567,0.71655655,
19542,SELL,262.8,262.587307,,Signal Exit
19770,BUY,257.0,257.127661,0.7905559,
19771,SELL,257.4,257.226981,,Signal Exit
19841,BUY,264.15,264.266285,0.7355491,
19851,SELL,264.9,264.8445,,Signal Exit
19868,BUY,263.05,263.087549,0.7442611,
19872,SELL,264.0,263.875498,,Signal Exit
19898,BUY,254.6,254.822524,0.7887753,
19906,SELL,257.5,257.349584,,Signal Exit
19930,BUY,257.3,257.33599,0.7153615,
19943,SELL,257.0,256.96617,,Signal Exit
19975,BUY,250.45,250.495214,0.79566497,
20009,SELL,243.65,245.478469,,STOP LOSS
20073,BUY,242.35,242.573608,0.8878659,
20100,SELL,241.0,240.7645,,Signal Exit
20164,BUY,239.5,239.70965,0.8258467,
20174,SELL,239.9,239.817555,,Signal Exit
20223,BUY,242.1,242.127085,0.80766165,
20251,SELL,239.5,239.380044,,Signal Exit
20262,BUY,237.05,237.231647,0.9686152,
20283,SELL,239.85,239.70234,,Signal Exit
20331,BUY,239.05,239.232992,0.7094132,
20339,SELL,240.35,240.156287,,Signal Exit
20400,BUY,240.8,241.010757,0.7899473,
20403,SELL,241.6,241.393874,,Signal Exit
20493,BUY,234.0,234.054765,0.85931003,
20504,SELL,236.4,236.315343,,Signal Exit
20588,BUY,224.55,224.64728,0.70076466,
20616,SELL,231.3,231.138619,,Signal Exit
21225,BUY,234.85,234.991172,0.9123595,
21247,SELL,236.15,236.012215,,Signal Exit
21259,BUY,231.0,231.087668,0.7311833,
21268,SELL,234.25,234.23138,,Signal Exit
21402,BUY,238.15,238.386577,0.80026686,
21408,SELL,239.0,238.767197,,Signal Exit
21582,BUY,234.9,234.931205,0.85476506,
21588,SELL,237.8,237.796985,,Signal Exit
22017,BUY,247.4,247.525593,0.7715822,
22018,SELL,247.85,247.636523,,Signal Exit
22068,BUY,250.1,250.267911,0.72513306,
22081,SELL,250.75,250.712751,,Signal Exit
22209,BUY,249.5,249.609497,0.77659553,
22220,SELL,250.9,250.764531,,Signal Exit
22287,BUY,241.3,241.418976,0.85202956,
22292,SELL,242.85,242.640505,,Signal Exit
22320,BUY,244.75,244.94796,0.79183507,
22326,SELL,246.0,245.772102,,Signal Exit
22372,BUY,245.65,245.817742,0.7124421,
22386,SELL,245.7,245.574191,,Signal Exit
22398,BUY,242.4,242.46366,0.7348763,
22411,SELL,235.15,239.713819,,STOP LOSS
22413,BUY,236.7,236.799855,0.75048137,
22434,SELL,245.5,245.292762,,Signal Exit
22487,BUY,246.8,246.988795,0.8180323,
22541,SELL,245.8,245.57904,,Signal Exit
22739,BUY,242.0,242.04252,0.73552537,
22748,SELL,243.4,243.236686,,Signal Exit
22800,BUY,245.8,246.014867,0.7261717,
22804,SELL,247.0,246.80909,,Signal Exit
22881,BUY,252.1,252.321457,0.7774554,
22898,SELL,252.65,252.4532,,Signal Exit
22953,BUY,251.7,251.877621,0.7625079,
22969,SELL,250.95,250.872443,,Signal Exit
23019,BUY,250.3,250.414194,0.7743826,
23026,SELL,250.8,250.618041,,Signal Exit
23301,BUY,251.25,251.272812,0.8077263,
23307,SELL,252.6,252.496345,,Signal Exit
23481,BUY,257.75,257.783709,0.7970489,
23483,SELL,258.15,257.969116,,Signal Exit
23502,BUY,256.35,256.562345,0.716686,
23507,SELL,257.35,257.166972,,Signal Exit
23578,BUY,254.6,254.650202,0.7526001,
23583,SELL,255.3,255.099473,,Signal Exit
23669,BUY,249.95,250.054089,0.7802302,
23679,SELL,250.85,250.755976,,Signal Exit
23865,BUY,249.45,249.580609,0.74263525,
23873,SELL,251.35,251.213649,,Signal Exit
23904,BUY,250.8,250.850609,0.7557717,
23909,SELL,251.9,251.721402,,Signal Exit
24108,BUY,257.2,257.282456,0.74858594,
24112,SELL,259.1,258.952585,,Signal Exit
24198,BUY,257.0,257.020701,0.7289531,
24205,SELL,258.9,258.662516,,Signal Exit
24268,BUY,256.8,256.831733,0.7621684,
24273,SELL,257.95,257.744539,,Signal Exit
