Measured_Price,Estimated_Price,Estimated_Velocity,rel_diff
391.45,391.839056,0.345957,-0.000993
392.0,392.116801,0.331257,-0.000298
391.7,392.172259,0.27182,-0.001204
390.8,391.83793,0.141189,-0.002649
389.8,391.175708,-0.031953,-0.003517
387.15,389.671312,-0.349278,-0.00647
388.4,388.982093,-0.422539,-0.001496
391.65,389.698959,-0.176986,0.005007
391.35,390.195941,-0.03174,0.002958
390.15,390.158966,-0.032868,-2.3e-05
390.95,390.429859,0.032595,0.001332
391.0,390.66064,0.075306,0.000869
390.95,390.814865,0.092314,0.000346
389.9,390.535845,0.012288,-0.001628
389.7,390.235438,-0.055101,-0.001372
390.9,390.445667,0.00208,0.001164
390.9,390.614487,0.038014,0.000731
391.1,390.817488,0.07357,0.000723
391.7,391.189304,0.137845,0.001305
390.65,391.077493,0.084042,-0.001093
390.95,391.083545,0.067234,-0.000341
390.4,390.873977,0.007581,-0.001213
391.2,390.998963,0.032883,0.000514
391.85,391.333488,0.097889,0.00132
389.05,390.553396,-0.091324,-0.003849
390.3,390.402319,-0.104201,-0.000262
388.7,389.708914,-0.23118,-0.002589
388.7,389.190994,-0.292975,-0.001262
390.45,389.470213,-0.169662,0.002516
390.2,389.632166,-0.098196,0.001457
391.95,390.424727,0.09377,0.003907
391.95,391.046273,0.207511,0.002311
390.4,390.939005,0.139673,-0.001379
390.35,390.810025,0.081776,-0.001177
390.4,390.71048,0.0427,-0.000795
390.15,390.530796,-0.005226,-0.000975
390.0,390.331799,-0.046985,-0.00085
391.75,390.825008,0.069431,0.002367
391.75,391.209873,0.13741,0.001381
391.9,391.551062,0.181326,0.000891
391.85,391.77575,0.190671,0.00019
391.85,391.923498,0.181421,-0.000188
393.0,392.434923,0.25254,0.00144
393.95,393.152943,0.352855,0.002027
393.8,393.614266,0.376231,0.000472
392.45,393.422537,0.25383,-0.002472
394.4,393.943161,0.311327,0.00116
393.65,394.031621,0.263297,-0.000969
392.6,393.670025,0.128627,-0.002718
392.65,393.37516,0.03736,-0.001843
391.85,392.83644,-0.08679,-0.002511
391.3,392.215184,-0.201972,-0.002333
390.3,391.381574,-0.338096,-0.002763
389.8,390.585025,-0.436897,-0.00201
389.9,390.056647,-0.456612,-0.000402
388.95,389.360376,-0.508261,-0.001054
389.6,389.12785,-0.448837,0.001213
387.3,388.17059,-0.558407,-0.002243
387.95,387.736731,-0.531566,0.00055
387.95,387.479776,-0.472385,0.001214
390.0,388.110725,-0.234606,0.004868
390.35,388.788205,-0.038043,0.004017
389.8,389.137223,0.045372,0.001703
390.55,389.686738,0.154019,0.002215
391.25,390.360326,0.265991,0.002279
391.25,390.85626,0.315546,0.001007
387.6,389.85493,0.031747,-0.005784
387.6,389.043611,-0.149941,-0.003711
386.85,388.140197,-0.312322,-0.003324
386.85,387.467346,-0.390019,-0.001593
385.0,386.311445,-0.555073,-0.003395
384.6,385.330033,-0.646953,-0.001895
384.6,384.65245,-0.653554,-0.000136
382.05,383.280364,-0.808404,-0.00321
383.3,382.777247,-0.742612,0.001366
383.3,382.501158,-0.642072,0.002088
381.6,381.763564,-0.662658,-0.000428
383.2,381.874813,-0.495874,0.00347
384.6,382.5665,-0.239944,0.005315
384.25,383.035704,-0.087116,0.00317
384.25,383.428401,0.016288,0.002143
385.45,384.184019,0.175621,0.003295
388.05,385.720225,0.468839,0.00604
389.2,387.299155,0.708074,0.004908
389.4,388.520724,0.818737,0.002263
388.55,389.048398,0.75601,-0.001281
387.8,389.06541,0.596749,-0.003252
388.0,389.049344,0.464682,-0.002697
386.85,388.531836,0.253011,-0.004329
384.45,387.186648,-0.091415,-0.007068
384.15,386.009366,-0.32543,-0.004817
384.4,385.210567,-0.427445,-0.002104
384.15,384.549698,-0.47775,-0.001039
384.15,384.100725,-0.471548,0.000128
387.7,385.130033,-0.1481,0.006673
388.65,386.334299,0.143347,0.005994
388.3,387.149523,0.288143,0.002972
391.6,388.972261,0.618862,0.006756
391.35,390.239597,0.758614,0.002845
391.55,391.201648,0.802457,0.00089
390.2,391.338956,0.659111,-0.00291
390.55,391.464185,0.544054,-0.002335
386.55,389.995861,0.110369,-0.008836
387.15,389.016308,-0.124519,-0.004798
387.45,388.360221,-0.239077,-0.002344
387.45,387.873703,-0.292403,-0.001092
387.85,387.680366,-0.271053,0.000438
383.25,385.875831,-0.601533,-0.006805
385.6,385.39438,-0.575654,0.000534
384.45,384.682782,-0.604951,-0.000605
384.45,384.215045,-0.57538,0.000612
384.1,383.809384,-0.538804,0.000757
384.1,383.576376,-0.472902,0.001365
383.0,383.065324,-0.481124,-0.000171
382.8,382.663763,-0.463977,0.000356
383.8,382.789762,-0.336832,0.002639
383.0,382.654628,-0.293364,0.000903
382.4,382.375545,-0.290287,6.4e-05
381.6,381.90635,-0.328843,-0.000802
382.9,382.065092,-0.223764,0.002185
382.25,381.992,-0.191293,0.000675
385.9,383.31206,0.134418,0.006752
385.9,384.351058,0.329363,0.00403
384.7,384.687639,0.330918,3.2e-05
384.9,384.974847,0.321498,-0.000194
384.8,385.11335,0.282061,-0.000814
382.6,384.364781,0.059951,-0.004591
381.65,383.401727,-0.160516,-0.004569
381.65,382.654553,-0.286946,-0.002625
381.65,382.103035,-0.343964,-0.001186
383.35,382.345625,-0.217556,0.002627
382.2,382.154589,-0.211841,0.000119
382.2,382.037593,-0.191401,0.000425
382.2,381.976637,-0.163289,0.000585
382.2,381.955901,-0.132567,0.000639
382.3,381.999074,-0.094694,0.000788
383.0,382.30832,-0.007641,0.001809
381.85,382.13452,-0.04345,-0.000745
381.85,382.002191,-0.062604,-0.000398
382.3,382.072466,-0.033967,0.000596
382.3,382.134911,-0.01319,0.000432
382.6,382.298056,0.024812,0.00079
382.15,382.259134,0.011077,-0.000285
382.0,382.170588,-0.010393,-0.000446
382.0,382.101133,-0.023121,-0.000265
383.15,382.473239,0.062054,0.001769
